City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
412,Saurimo,AO,-9.6608,20.3916,85.78,15,97,5.35,overcast clouds
413,Flinders,AU,-34.5833,150.8552,51.21,72,17,1.01,few clouds
414,Tiznit,MA,29.5833,-9.5,104.76,9,4,16.26,clear sky
415,Rantepao,ID,-2.9701,119.8978,68.63,98,98,1.5,overcast clouds
416,Carndonagh,IE,55.25,-7.2667,65.82,77,62,7.43,broken clouds
417,Oyama,JP,36.3,139.8,84.58,74,6,5.5,clear sky
418,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,80,7,7.02,clear sky
419,Kaeo,NZ,-35.1,173.7833,54.32,94,68,15.21,light rain
420,Drochia,MD,48.035,27.8161,81.68,57,100,3.94,overcast clouds
421,Kropotkin,RU,45.4375,40.5756,99.79,18,0,7.36,clear sky
422,Russell,US,32.3502,-85.1999,78.8,84,40,0.0,light intensity drizzle
423,Ejura,GH,7.3856,-1.3562,82.96,65,91,3.98,overcast clouds
424,Hami,CN,42.8,93.45,80.83,32,100,15.01,overcast clouds
425,Sabha,LY,27.0377,14.4283,99.9,11,0,14.94,clear sky
426,Muzhi,RU,65.3667,64.6667,69.94,52,47,11.05,scattered clouds
427,Grindavik,IS,63.8424,-22.4338,48.67,93,90,5.75,overcast clouds
428,Cazones,MX,20.7167,-97.3167,76.8,94,75,0.0,broken clouds
429,Cabedelo,BR,-6.9811,-34.8339,81.27,70,23,14.9,few clouds
430,Atchison,US,39.563,-95.1216,75.49,91,0,7.05,clear sky
431,Divnogorsk,RU,55.9594,92.3619,64.89,69,90,2.55,overcast clouds
432,Amethi,IN,26.15,81.8167,85.01,73,68,9.15,broken clouds
433,Suhbaatar,MN,50.2314,106.2078,60.75,88,100,4.27,overcast clouds
434,Jaguey Grande,CU,22.5269,-81.1286,84.85,63,0,10.11,clear sky
435,Rairangpur,IN,22.2676,86.1751,85.91,66,97,5.53,heavy intensity rain
436,Aguimes,ES,27.9054,-15.4461,84.67,54,0,26.46,clear sky
437,Guadalupe Victoria,MX,32.2869,-115.105,91.58,51,6,9.35,clear sky
